ax,ay,az,gx,gy,gz
0.09,0.76,-0.6,4.27,-5.49,-6.04
0.11,0.77,-0.59,-0.98,-4.88,-2.93
0.08,0.78,-0.6,-1.34,-3.85,-3.05
0.08,0.78,-0.62,-3.11,-2.56,-5.8
0.1,0.79,-0.63,-4.03,-1.59,-4.82
0.12,0.78,-0.63,-3.42,0.24,-2.2
0.13,0.77,-0.65,-3.11,0.43,-1.83
0.14,0.77,-0.64,-3.11,0.37,-0.85
0.15,0.78,-0.65,-1.65,-2.2,2.44
0.13,0.77,-0.61,-1.04,-4.64,2.99
0.11,0.76,-0.58,-1.77,-6.47,2.2
0.11,0.76,-0.56,-3.23,-8.61,1.4
0.09,0.77,-0.58,-4.94,-13.98,-2.01
0.04,0.77,-0.63,-3.97,-11.9,-2.93
0.04,0.78,-0.64,-0.85,-0.06,0.79
0.07,0.78,-0.64,-0.37,4.88,3.11
0.1,0.77,-0.62,-1.46,9.4,4.82
0.13,0.76,-0.6,-1.83,5.86,3.54
0.13,0.76,-0.61,-2.38,-1.95,0.61
0.09,0.77,-0.62,-4.21,-10.38,-3.36
0.05,0.78,-0.64,-4.27,-5.25,-1.95
0.07,0.78,-0.63,-1.04,6.23,1.34
0.11,0.77,-0.61,0.67,6.35,0.49
0.1,0.77,-0.62,1.77,3.05,-1.1
0.09,0.77,-0.62,2.01,4.64,0.37
0.13,0.76,-0.61,2.14,6.35,2.26
0.14,0.75,-0.58,-1.46,0.92,1.46
0.12,0.75,-0.57,-7.39,-3.17,0.49
0.08,0.76,-0.57,-9.09,-1.59,1.22
0.06,0.77,-0.61,-7.75,2.62,1.04
0.09,0.78,-0.66,-4.21,3.78,0.43
0.09,0.78,-0.66,0.37,3.36,-0.49
0.08,0.77,-0.65,4.88,1.77,-1.28
0.1,0.75,-0.61,4.15,2.08,-0.37
0.11,0.74,-0.59,1.1,-1.28,-1.65
0.1,0.76,-0.61,-0.85,-5.13,-3.48
0.09,0.77,-0.64,-1.16,-4.88,-2.2
0.1,0.78,-0.69,1.04,0.43,1.28
0.11,0.77,-0.68,4.21,8.0,7.81
0.1,0.77,-0.6,3.17,7.87,8.12
0.09,0.76,-0.58,1.28,6.1,6.65
0.08,0.76,-0.59,-0.67,-0.98,2.62
0.06,0.76,-0.61,0.43,-2.56,0.98
0.06,0.76,-0.61,3.72,2.62,1.34
0.09,0.77,-0.62,4.7,4.15,1.89
0.09,0.77,-0.64,5.13,1.04,0.37
0.11,0.77,-0.62,4.94,1.34,0.73
0.11,0.77,-0.6,4.76,1.83,1.53
0.1,0.77,-0.61,4.15,-4.76,-0.92
0.08,0.78,-0.63,3.54,-7.32,-2.56
0.1,0.78,-0.65,4.03,-5.98,-1.46
0.13,0.78,-0.65,4.39,-7.14,-0.85
0.12,0.77,-0.62,4.82,-11.23,-0.49
0.09,0.77,-0.58,5.07,-11.72,-0.43
0.08,0.77,-0.59,5.55,-11.17,-2.38
0.03,0.77,-0.59,5.55,-7.14,-2.69
0.02,0.77,-0.58,4.7,0.18,-2.01
0.03,0.78,-0.59,2.69,9.22,-2.69
0.12,0.78,-0.62,1.83,4.94,-4.7
0.14,0.78,-0.62,0.55,-4.82,-5.62
0.13,0.77,-0.59,0.0,-4.82,-4.82
0.13,0.78,-0.58,0.06,-5.0,-4.76
0.13,0.78,-0.59,4.27,-11.66,-8.12
0.13,0.78,-0.64,5.55,-14.4,-10.25
0.13,0.79,-0.65,7.57,-16.17,-10.13
0.15,0.76,-0.64,7.2,-19.41,-9.58
0.16,0.76,-0.62,4.82,-24.05,-9.34
0.16,0.76,-0.61,0.06,-37.41,-9.7
0.18,0.77,-0.62,1.77,-43.58,-9.95
