ax,ay,az,gx,gy,gz
0.27,0.84,-0.44,0.55,0.67,0.67
0.27,0.84,-0.44,0.67,1.34,0.73
0.28,0.84,-0.43,0.61,0.92,0.55
0.28,0.84,-0.43,-0.12,0.12,-0.37
0.27,0.85,-0.43,-0.12,0.61,-0.49
0.28,0.85,-0.43,0.43,1.28,-0.43
0.28,0.85,-0.44,0.43,0.79,-0.55
0.28,0.85,-0.43,0.24,0.18,-0.49
0.27,0.84,-0.43,0.37,1.46,-0.12
0.28,0.84,-0.43,0.55,2.5,-0.12
0.29,0.85,-0.43,0.67,1.59,-0.24
0.28,0.85,-0.41,2.44,1.16,0.24
0.29,0.85,-0.41,-3.72,-6.29,1.04
0.33,0.85,-0.47,-14.04,-18.49,-5.92
0.26,0.84,-0.5,-8.18,-52.86,-20.02
0.2,0.85,-0.54,7.75,-45.84,-10.56
0.34,0.86,-0.56,18.68,-2.56,-0.49
0.39,0.83,-0.44,4.94,73.97,21.42
0.38,0.78,-0.22,0.85,57.98,27.95
0.35,0.81,-0.26,1.46,-18.55,-7.93
0.18,0.89,-0.48,0.12,-30.33,-14.53
0.18,0.88,-0.5,-0.73,3.97,3.11
0.24,0.85,-0.44,-0.98,17.15,5.31
0.26,0.83,-0.4,-3.72,19.23,0.98
0.27,0.82,-0.39,-6.77,18.62,0.31
0.31,0.83,-0.44,-7.51,17.76,0.55
0.34,0.85,-0.48,-5.31,5.86,0.0
0.28,0.85,-0.45,-6.35,0.06,-1.53
0.27,0.84,-0.46,-8.18,0.79,-2.75
0.33,0.85,-0.52,-8.48,0.98,0.24
0.35,0.86,-0.56,-1.4,-5.43,1.71
0.33,0.84,-0.53,4.03,-9.83,1.34
0.3,0.83,-0.48,6.9,-14.53,1.77
0.27,0.82,-0.44,7.75,-23.74,0.85
0.2,0.83,-0.41,7.75,-26.18,-1.83
0.18,0.84,-0.41,7.51,-19.96,-5.13
0.19,0.85,-0.41,6.29,-12.63,-5.13
0.21,0.85,-0.41,4.76,0.85,-4.82
0.27,0.85,-0.42,5.07,4.39,-5.13
0.29,0.85,-0.42,5.0,6.04,-5.25
0.3,0.85,-0.41,4.15,5.92,-4.03
0.31,0.84,-0.4,3.97,5.43,-3.42
0.33,0.85,-0.4,2.38,4.88,-2.87
0.34,0.85,-0.4,1.16,3.97,-2.08
0.35,0.84,-0.42,0.12,-0.49,-0.31
0.34,0.84,-0.44,-0.06,-2.5,0.18
0.32,0.84,-0.44,-0.73,-3.48,1.28
0.29,0.84,-0.41,-1.59,-2.75,1.95
0.27,0.84,-0.41,-2.38,-0.92,2.01
0.26,0.84,-0.41,-2.38,0.12,1.59
0.27,0.85,-0.44,-2.2,2.5,1.22
0.28,0.85,-0.45,-1.59,2.93,0.98
0.29,0.86,-0.46,-0.24,1.77,0.55
0.29,0.85,-0.46,0.43,0.61,0.61
0.29,0.84,-0.46,1.22,-0.92,0.24
0.28,0.83,-0.44,1.22,-0.85,0.06
0.28,0.83,-0.43,1.1,-0.43,-0.24
0.28,0.84,-0.42,0.98,1.22,-1.22
0.29,0.84,-0.43,0.73,2.14,-1.16
0.3,0.84,-0.43,0.55,2.93,-0.67
0.3,0.85,-0.43,0.55,2.93,-0.55
0.3,0.85,-0.42,0.79,2.62,-0.24
0.3,0.85,-0.43,0.92,1.95,0.06
0.3,0.85,-0.42,0.92,1.04,0.31
0.29,0.84,-0.43,0.85,0.12,0.55
0.28,0.84,-0.43,0.92,0.24,0.79
0.28,0.84,-0.43,0.37,0.85,0.98
0.27,0.84,-0.43,0.24,1.16,0.67
0.28,0.84,-0.42,-0.12,1.46,0.37
