0.04,0.76,-0.61,-3.36,-8.48,3.85
0.02,0.76,-0.62,-4.82,-15.69,-0.31
0.01,0.75,-0.66,-5.8,-21.0,-3.48
0.03,0.74,-0.71,-4.33,-16.91,-1.59
0.06,0.75,-0.69,-0.06,-5.74,2.69
0.05,0.77,-0.61,0.0,-8.97,-1.59
0.05,0.75,-0.57,-2.32,-12.76,-4.46
0.04,0.74,-0.59,-4.76,-15.69,-6.04
0.02,0.74,-0.63,-5.31,-14.59,-7.2
0.05,0.75,-0.71,-4.64,-10.62,-6.23
0.09,0.76,-0.74,-0.92,-7.02,-3.54
0.16,0.77,-0.69,1.59,-7.87,-2.81
0.15,0.76,-0.64,1.4,-14.65,-1.28
0.07,0.74,-0.59,0.49,-20.39,-2.81
0.05,0.74,-0.61,-0.18,-24.05,-5.37
0.05,0.74,-0.61,-1.77,-17.88,-5.37
0.05,0.74,-0.63,-2.32,-11.35,-4.09
0.07,0.75,-0.66,-0.73,-8.0,-4.64
0.17,0.76,-0.72,0.24,-11.6,-5.0
0.2,0.76,-0.72,0.43,-20.87,-2.14
0.17,0.74,-0.61,-0.31,-26.37,-0.67
0.14,0.72,-0.54,-5.86,-39.31,-3.17
0.07,0.74,-0.57,-7.02,-41.26,-6.77
0.05,0.75,-0.64,-5.74,-36.68,-9.58
0.05,0.77,-0.69,-1.71,-16.05,-5.49
0.1,0.76,-0.71,0.06,-8.42,-2.81
0.14,0.75,-0.68,0.98,-8.79,-1.83
0.2,0.71,-0.59,-1.65,-14.89,-1.34
0.2,0.71,-0.57,-12.08,-31.62,-4.39
0.13,0.75,-0.67,-14.04,-38.21,-9.64
