0.32,0.85,-0.41,-0.18,39.86,4.64
0.32,0.86,-0.41,0.85,40.65,4.88
0.32,0.86,-0.4,3.66,39.79,4.46
0.3,0.87,-0.38,4.09,37.23,4.52
0.27,0.86,-0.38,3.85,34.18,4.46
0.25,0.86,-0.39,2.56,34.79,3.36
0.26,0.86,-0.41,2.62,37.54,3.66
0.29,0.87,-0.41,5.68,36.68,6.16
0.42,0.86,-0.39,5.25,29.17,7.2
0.45,0.86,-0.38,2.56,14.16,8.18
0.43,0.87,-0.37,-0.73,-36.99,5.43
0.3,0.89,-0.41,-0.79,-64.03,0.98
0.23,0.89,-0.42,-1.46,-92.47,-8.12
0.14,0.89,-0.41,-1.83,-92.16,-10.68
0.14,0.89,-0.39,-1.77,-82.21,-13.98
0.22,0.86,-0.38,-1.83,-80.69,-15.93
0.27,0.86,-0.39,-2.38,-88.5,-20.08
0.34,0.86,-0.39,-2.32,-95.09,-22.03
0.34,0.86,-0.38,-2.5,-110.6,-24.05
0.35,0.86,-0.37,-2.5,-117.37,-24.84
0.37,0.87,-0.35,-3.11,-124.51,-26.0
0.42,0.87,-0.31,-3.3,-126.46,-25.02
0.44,0.87,-0.29,-3.85,-130.8,-23.8
0.43,0.86,-0.27,-6.23,-147.89,-23.56
0.42,0.86,-0.26,-7.02,-158.02,-23.74
0.4,0.85,-0.25,-7.14,-156.74,-22.77
0.41,0.84,-0.25,-7.08,-152.95,-21.85
0.44,0.84,-0.24,-7.57,-146.0,-21.48
0.45,0.84,-0.22,-7.69,-142.94,-21.06
0.44,0.83,-0.21,-6.96,-133.12,-19.59
