ax,ay,az,gx,gy,gz
-0.55,-0.34,0.72,5.37,-1.95,0.61
-0.53,-0.33,0.71,4.58,-2.99,0.49
-0.54,-0.32,0.7,3.17,-4.15,0.43
-0.55,-0.32,0.7,2.26,-3.72,0.55
-0.55,-0.31,0.7,0.85,-2.99,0.24
-0.55,-0.3,0.71,0.37,-2.01,0.12
-0.55,-0.3,0.73,-0.12,-1.04,0.12
-0.55,-0.3,0.73,-0.31,0.24,0.24
-0.55,-0.3,0.75,-0.37,0.49,0.31
-0.56,-0.3,0.75,-0.43,0.79,0.49
-0.56,-0.3,0.75,-0.12,1.53,0.61
-0.56,-0.31,0.75,-0.18,1.34,0.61
-0.56,-0.31,0.75,-0.31,1.34,0.61
-0.57,-0.32,0.74,-0.31,1.59,0.55
-0.57,-0.33,0.74,-0.61,1.59,0.49
-0.57,-0.33,0.74,-0.79,1.16,0.61
-0.57,-0.33,0.75,-1.1,0.31,0.85
-0.57,-0.33,0.74,-1.1,-0.49,1.1
-0.57,-0.33,0.74,-0.98,-1.04,1.71
-0.57,-0.33,0.74,-0.79,-0.79,1.89
-0.57,-0.33,0.74,-0.43,-0.24,2.44
-0.56,-0.33,0.74,-0.06,0.31,2.2
-0.56,-0.33,0.74,0.37,0.12,1.89
-0.56,-0.33,0.74,0.73,0.12,1.77
-0.56,-0.34,0.73,0.98,0.55,1.71
-0.56,-0.34,0.72,0.85,1.34,1.65
-0.56,-0.34,0.73,0.98,1.95,1.59
-0.55,-0.34,0.73,1.1,2.44,1.1
-0.55,-0.35,0.74,1.04,1.83,0.31
-0.55,-0.34,0.74,0.98,1.53,0.24
-0.55,-0.34,0.73,0.92,1.1,0.12
-0.55,-0.34,0.72,0.92,0.67,0.24
-0.56,-0.34,0.73,0.92,1.16,0.79
-0.56,-0.34,0.73,0.92,1.77,0.98
-0.56,-0.34,0.73,1.04,2.01,1.1
-0.55,-0.34,0.74,0.98,2.2,0.98
-0.55,-0.34,0.73,0.79,2.14,0.67
-0.55,-0.34,0.73,0.61,1.89,0.55
-0.56,-0.33,0.73,0.31,1.77,0.67
-0.56,-0.33,0.72,0.12,2.01,0.85
-0.56,-0.34,0.72,-0.12,2.81,1.71
-0.56,-0.34,0.71,-0.49,3.6,2.38
-0.55,-0.34,0.72,-1.1,4.09,2.81
-0.55,-0.34,0.72,-1.77,4.52,4.15
-0.55,-0.34,0.72,-2.26,5.13,5.0
-0.54,-0.33,0.73,-2.81,5.92,6.53
-0.55,-0.33,0.73,-3.05,6.53,7.14
-0.55,-0.33,0.74,-3.6,7.57,7.57
-0.55,-0.33,0.74,-4.21,8.48,7.32
-0.55,-0.33,0.75,-5.0,8.24,6.65
-0.56,-0.33,0.76,-5.62,7.51,4.94
-0.56,-0.33,0.76,-5.98,6.71,3.6
-0.57,-0.34,0.75,-6.59,6.47,2.26
-0.57,-0.34,0.75,-6.9,6.96,1.83
-0.58,-0.34,0.75,-7.39,6.71,1.28
-0.58,-0.35,0.75,-8.0,6.35,0.49
-0.58,-0.35,0.74,-8.42,6.47,-0.24
-0.58,-0.36,0.73,-8.91,6.71,-1.46
-0.59,-0.35,0.73,-8.97,6.65,-2.08
-0.58,-0.35,0.74,-8.85,5.68,-2.87
-0.58,-0.35,0.74,-8.67,4.21,-3.11
-0.6,-0.35,0.74,-8.3,2.81,-3.11
-0.61,-0.35,0.74,-7.63,0.67,-2.75
-0.62,-0.35,0.73,-7.45,-0.18,-2.32
-0.62,-0.34,0.73,-7.02,-0.55,-1.89
-0.62,-0.34,0.72,-6.59,-0.43,-1.65
-0.62,-0.33,0.72,-5.74,-0.24,-0.79
-0.62,-0.33,0.72,-5.25,-0.67,-0.12
-0.61,-0.32,0.71,-4.15,-0.73,0.92
-0.6,-0.32,0.7,-3.78,-1.16,1.77
-0.59,-0.32,0.69,-3.3,-1.28,2.32
-0.58,-0.32,0.68,-2.69,-0.37,2.69
-0.58,-0.32,0.68,-2.2,0.67,2.44
-0.57,-0.33,0.68,-1.59,1.53,1.95
-0.57,-0.33,0.68,-1.16,1.95,1.4
-0.57,-0.33,0.68,-0.73,1.95,0.55
-0.58,-0.33,0.68,0.79,0.85,-1.34
-0.6,-0.33,0.68,2.2,0.49,-1.59
-0.61,-0.33,0.69,4.39,0.73,-0.98
-0.63,-0.33,0.68,5.8,1.77,-0.55
-0.62,-0.34,0.67,6.96,5.07,-0.85
-0.6,-0.34,0.66,7.57,7.69,-2.32
-0.59,-0.35,0.65,8.18,11.96,-2.93
-0.58,-0.35,0.65,8.54,13.24,-2.26
-0.57,-0.35,0.68,8.36,12.57,-1.34
-0.57,-0.35,0.69,8.36,11.05,-1.65
-0.55,-0.35,0.69,8.36,9.16,-2.26
-0.56,-0.36,0.69,7.87,6.16,-2.99
-0.56,-0.35,0.69,7.57,5.0,-3.6
-0.57,-0.35,0.68,6.77,3.72,-4.64
-0.57,-0.35,0.68,6.53,4.09,-5.31
-0.58,-0.34,0.69,6.04,4.7,-5.68
-0.58,-0.34,0.7,5.98,4.88,-5.8
-0.59,-0.34,0.72,6.41,3.72,-6.04
-0.61,-0.34,0.72,6.9,1.71,-6.9
-0.62,-0.34,0.71,7.51,1.89,-7.81
-0.64,-0.34,0.72,8.3,2.38,-8.54
-0.65,-0.35,0.72,9.34,2.75,-9.58
-0.65,-0.35,0.73,9.83,2.14,-10.31
-0.65,-0.37,0.73,10.38,0.0,-10.74
-0.66,-0.37,0.74,10.8,-0.06,-10.68
-0.66,-0.38,0.74,11.35,0.67,-9.77
-0.67,-0.38,0.74,11.96,1.1,-9.28
-0.67,-0.38,0.75,12.51,1.59,-8.67
-0.66,-0.39,0.76,12.88,1.77,-8.12
-0.64,-0.39,0.77,13.0,0.98,-8.42
-0.63,-0.39,0.78,13.0,-0.55,-9.28
-0.62,-0.38,0.78,13.12,-1.04,-9.95
-0.61,-0.36,0.78,13.55,-0.43,-11.29
-0.59,-0.35,0.78,13.85,-1.04,-13.0
-0.58,-0.34,0.79,14.04,-2.32,-14.77
-0.57,-0.33,0.78,14.28,-4.52,-17.94
-0.57,-0.33,0.78,14.77,-5.19,-19.65
-0.56,-0.32,0.77,15.75,-4.94,-21.0
-0.56,-0.32,0.77,16.54,-3.42,-20.75
-0.55,-0.32,0.76,17.33,-0.85,-19.78
-0.54,-0.32,0.76,18.74,3.3,-17.76
-0.54,-0.32,0.75,19.29,5.74,-16.05
-0.52,-0.32,0.74,19.9,8.06,-13.67
-0.51,-0.33,0.74,19.41,7.63,-12.51
-0.5,-0.33,0.74,18.01,6.84,-12.39
-0.49,-0.34,0.76,16.54,5.19,-12.63
-0.49,-0.34,0.76,15.14,3.91,-12.82
-0.48,-0.33,0.76,13.37,2.87,-13.0
-0.49,-0.33,0.75,12.57,3.6,-12.51
-0.5,-0.34,0.71,12.15,8.36,-11.23
-0.49,-0.35,0.7,11.66,12.39,-10.25
-0.48,-0.36,0.69,11.17,15.75,-9.46
-0.47,-0.37,0.7,10.31,18.37,-8.73
-0.46,-0.38,0.7,9.83,18.43,-8.24
-0.47,-0.4,0.71,8.73,17.27,-6.77
-0.48,-0.4,0.7,7.69,16.48,-5.55
-0.51,-0.4,0.71,7.08,17.7,-3.91
-0.52,-0.4,0.71,7.02,19.71,-3.36
-0.53,-0.4,0.71,6.96,21.18,-2.99
-0.52,-0.41,0.71,6.47,21.97,-3.48
-0.52,-0.41,0.72,5.62,21.18,-4.46
-0.5,-0.42,0.73,4.09,17.15,-7.2
-0.5,-0.41,0.73,3.23,15.08,-8.79
-0.5,-0.4,0.72,2.5,13.24,-9.83
-0.49,-0.39,0.71,2.14,11.23,-10.07
-0.49,-0.38,0.7,2.14,10.99,-9.7
