ax,ay,az,gx,gy,gz
0.93,-0.46,0.09,-33.75,4.64,5.07
0.92,-0.45,0.08,-35.03,4.21,2.99
0.91,-0.45,0.08,-35.95,4.94,1.59
0.9,-0.43,0.07,-36.87,6.53,0.49
0.9,-0.43,0.08,-38.27,8.67,-0.85
0.9,-0.42,0.09,-39.18,9.03,-1.71
0.89,-0.41,0.1,-39.86,8.0,-2.56
0.88,-0.41,0.1,-40.34,6.96,-2.69
0.87,-0.41,0.1,-41.38,5.8,-2.93
0.87,-0.41,0.1,-42.11,4.64,-2.87
0.87,-0.41,0.09,-42.66,3.54,-2.69
0.87,-0.41,0.07,-43.4,3.85,-2.93
0.87,-0.41,0.07,-43.95,4.46,-3.11
0.87,-0.41,0.06,-44.62,7.87,-3.54
0.87,-0.42,0.05,-45.1,11.9,-4.27
0.89,-0.41,0.05,-45.78,16.48,-4.33
0.93,-0.42,0.05,-46.63,18.86,-4.39
0.94,-0.42,0.05,-47.3,18.98,-4.64
0.94,-0.41,0.05,-48.46,18.98,-5.55
0.95,-0.41,0.07,-49.07,18.98,-6.04
0.95,-0.4,0.09,-49.5,19.23,-6.47
0.95,-0.4,0.11,-49.5,19.65,-7.26
0.95,-0.4,0.12,-49.07,19.29,-7.81
0.94,-0.4,0.12,-48.77,19.53,-8.06
0.94,-0.4,0.11,-48.89,18.8,-8.3
0.94,-0.4,0.11,-48.52,17.27,-8.42
0.93,-0.39,0.11,-48.52,16.3,-8.42
0.92,-0.38,0.11,-48.34,15.81,-7.69
0.92,-0.38,0.11,-48.4,15.14,-6.9
0.91,-0.38,0.12,-48.16,13.43,-5.92
0.9,-0.37,0.12,-47.67,8.24,-4.39
0.89,-0.37,0.12,-47.3,3.78,-3.17
0.87,-0.37,0.13,-46.75,-1.77,-1.34
0.85,-0.37,0.13,-44.98,-9.95,2.69
0.85,-0.37,0.14,-43.76,-16.05,5.31
0.95,-0.35,0.13,-42.72,-33.57,8.85
1.05,-0.33,0.13,-43.27,-56.46,10.19
1.16,-0.31,0.15,-44.49,-86.85,10.25
1.19,-0.31,0.18,-45.53,-135.38,9.95
1.18,-0.3,0.2,-46.2,-164.86,9.09
1.16,-0.29,0.24,-48.77,-207.64,6.96
1.13,-0.27,0.27,-50.48,-238.04,5.43
1.06,-0.23,0.35,-51.76,-266.85,4.39
1.0,-0.2,0.42,-52.37,-303.89,4.21
0.92,-0.16,0.48,-51.82,-320.37,3.91
0.8,-0.12,0.57,-49.26,-335.02,5.25
0.73,-0.1,0.63,-46.2,-342.04,6.1
0.65,-0.08,0.72,-39.67,-354.55,8.73
0.56,-0.08,0.77,-34.85,-356.87,10.68
0.47,-0.09,0.82,-30.27,-350.83,10.93
0.38,-0.12,0.86,-23.93,-333.5,10.13
0.31,-0.14,0.88,-20.14,-313.42,12.15
0.25,-0.16,0.92,-20.87,-283.2,13.43
0.18,-0.2,0.94,-20.14,-261.41,10.86
0.12,-0.2,0.97,-19.1,-236.39,8.48
0.1,-0.21,0.99,-18.49,-198.49,8.85
0.09,-0.2,1.0,-18.86,-176.94,9.64
0.09,-0.21,1.01,-18.49,-152.59,8.97
0.07,-0.21,1.02,-18.25,-141.6,7.2
0.02,-0.2,1.01,-17.33,-124.88,6.04
0.0,-0.2,1.01,-15.56,-113.65,5.92
-0.02,-0.2,1.01,-13.79,-104.86,5.68
-0.04,-0.21,1.01,-11.47,-93.99,3.6
-0.06,-0.21,0.99,-10.38,-87.1,2.32
-0.08,-0.21,0.94,-9.52,-77.76,2.93
-0.09,-0.22,0.91,-8.18,-71.66,2.01
-0.1,-0.22,0.9,-4.88,-62.32,0.67
-0.1,-0.23,0.92,-1.16,-54.14,-0.98
-0.09,-0.24,0.92,1.4,-48.46,-1.04
-0.08,-0.25,0.91,2.44,-45.53,-0.06
-0.09,-0.26,0.89,3.3,-39.0,3.23
-0.1,-0.25,0.88,4.09,-31.98,3.97
-0.09,-0.26,0.87,4.27,-25.21,5.07
-0.09,-0.26,0.87,4.27,-16.91,6.96
