ax,ay,az,gx,gy,gz
-0.47,-0.42,0.6,-2.26,10.62,8.48
-0.46,-0.43,0.61,-1.65,9.83,9.16
-0.45,-0.44,0.63,-1.46,7.39,9.34
-0.46,-0.44,0.64,-1.46,3.91,8.42
-0.47,-0.44,0.64,-1.22,2.44,7.2
-0.49,-0.44,0.65,-0.92,1.53,4.46
-0.49,-0.44,0.67,-0.37,1.28,2.5
-0.5,-0.44,0.69,0.12,1.28,0.73
-0.5,-0.44,0.7,1.53,1.71,-1.04
-0.5,-0.44,0.71,2.93,1.4,-1.46
-0.5,-0.45,0.73,4.03,1.04,-1.22
-0.51,-0.46,0.74,5.62,0.92,-0.98
-0.5,-0.46,0.77,6.84,0.67,-0.92
-0.5,-0.46,0.78,8.54,-1.71,-0.79
-0.51,-0.46,0.78,9.89,-2.99,-1.04
-0.52,-0.46,0.76,11.84,-3.54,-2.75
-0.53,-0.47,0.76,13.0,-3.48,-4.39
-0.53,-0.48,0.76,14.83,-2.99,-6.77
-0.52,-0.49,0.77,15.75,-3.23,-9.16
-0.53,-0.51,0.76,16.48,-4.03,-11.66
-0.53,-0.51,0.75,16.91,-3.85,-14.34
-0.53,-0.5,0.75,17.21,-1.59,-13.98
-0.56,-0.51,0.75,16.85,4.7,-11.23
-0.56,-0.52,0.77,16.42,8.3,-9.77
-0.54,-0.53,0.8,15.14,10.13,-8.48
-0.54,-0.53,0.82,12.88,10.25,-6.1
-0.54,-0.52,0.83,11.47,9.46,-5.31
-0.55,-0.52,0.83,8.85,7.45,-6.47
-0.54,-0.52,0.84,6.96,6.29,-8.42
-0.5,-0.51,0.85,3.85,1.77,-11.35
-0.5,-0.49,0.86,2.01,-2.2,-12.82
-0.5,-0.48,0.87,0.67,-5.74,-13.55
-0.49,-0.47,0.84,-0.98,-9.09,-14.04
-0.48,-0.45,0.81,-1.34,-9.28,-13.55
-0.49,-0.44,0.77,0.0,-2.93,-9.4
-0.47,-0.44,0.74,0.85,2.14,-6.16
-0.43,-0.45,0.72,2.5,8.85,-1.95
-0.4,-0.46,0.71,3.42,10.31,0.61
-0.38,-0.47,0.7,3.48,9.64,2.5
-0.38,-0.47,0.68,3.23,9.16,3.85
-0.38,-0.47,0.68,3.3,8.67,4.76
-0.4,-0.46,0.68,3.3,9.03,4.88
-0.42,-0.45,0.68,3.23,10.07,3.78
-0.43,-0.45,0.67,3.17,11.05,2.44
-0.44,-0.45,0.67,2.81,12.15,1.04
-0.43,-0.46,0.66,1.1,12.15,-0.92
-0.43,-0.47,0.67,-0.18,10.74,-3.23
-0.41,-0.48,0.66,-1.53,7.39,-5.43
-0.42,-0.47,0.66,-3.3,2.14,-6.29
-0.43,-0.47,0.66,-4.15,1.16,-5.25
-0.43,-0.45,0.65,-4.76,0.92,-4.03
-0.45,-0.45,0.65,-4.64,1.59,-3.17
-0.46,-0.45,0.63,-4.64,4.09,-1.46
-0.45,-0.45,0.63,-4.58,6.16,-0.61
-0.44,-0.46,0.64,-4.52,7.63,-0.12
-0.45,-0.46,0.64,-4.52,8.61,0.55
-0.44,-0.47,0.65,-4.58,8.67,1.34
-0.44,-0.48,0.65,-5.0,7.14,2.56
-0.43,-0.48,0.66,-4.94,5.8,3.36
-0.44,-0.47,0.67,-5.55,3.48,4.94
-0.45,-0.47,0.68,-5.8,1.71,5.31
-0.47,-0.47,0.69,-5.68,0.98,4.7
-0.47,-0.47,0.7,-5.13,0.12,3.72
-0.49,-0.47,0.7,-4.52,-0.49,3.78
-0.49,-0.48,0.7,-3.85,-1.65,3.85
-0.49,-0.49,0.71,-3.66,-3.05,3.78
-0.47,-0.5,0.73,-3.66,-4.88,3.36
-0.46,-0.51,0.74,-3.78,-10.07,3.36
-0.45,-0.51,0.75,-3.78,-13.43,4.64
-0.45,-0.5,0.74,-3.17,-16.85,6.1
-0.46,-0.49,0.74,-2.56,-17.82,6.47
-0.49,-0.49,0.73,-1.4,-16.97,6.53
-0.5,-0.49,0.73,-0.31,-14.77,6.59
-0.51,-0.51,0.75,1.1,-12.82,6.59
-0.52,-0.52,0.76,1.59,-11.47,6.04
-0.52,-0.54,0.78,1.89,-11.96,4.88
-0.53,-0.53,0.79,2.44,-15.93,4.27
-0.53,-0.53,0.8,2.62,-20.08,4.88
-0.55,-0.55,0.8,1.65,-27.16,6.23
-0.57,-0.55,0.81,0.67,-28.99,7.63
-0.6,-0.52,0.84,0.37,-28.87,9.46
-0.64,-0.49,0.83,2.14,-28.56,10.74
-0.69,-0.51,0.8,2.93,-25.94,10.31
-0.66,-0.55,0.75,2.26,-17.4,10.13
-0.62,-0.53,0.76,1.77,-14.28,10.93
-0.61,-0.52,0.78,0.98,-15.2,10.74
-0.59,-0.51,0.76,0.31,-17.15,9.83
-0.54,-0.49,0.74,-0.43,-19.78,8.97
-0.52,-0.47,0.73,-1.59,-22.77,10.19
-0.52,-0.45,0.73,-2.38,-22.34,13.24
-0.49,-0.41,0.74,-2.81,-19.53,17.82
-0.47,-0.4,0.74,-2.93,-18.07,19.29
-0.48,-0.37,0.72,-2.93,-15.38,20.26
-0.49,-0.37,0.72,-2.38,-7.2,21.97
-0.48,-0.38,0.73,-2.44,2.26,23.01
-0.48,-0.39,0.73,-3.6,7.2,21.91
-0.48,-0.42,0.73,-5.49,9.34,19.47
-0.49,-0.44,0.74,-8.91,11.35,16.66
-0.49,-0.44,0.74,-12.02,10.62,14.47
-0.5,-0.45,0.74,-16.42,6.84,9.95
-0.51,-0.45,0.74,-18.74,3.36,7.02
-0.51,-0.43,0.72,-20.81,0.31,5.13
-0.52,-0.42,0.7,-22.77,-2.5,3.17
-0.52,-0.41,0.69,-23.44,-3.78,1.71
-0.51,-0.39,0.67,-23.25,-5.07,0.06
-0.5,-0.38,0.65,-22.34,-4.58,0.18
-0.49,-0.38,0.63,-20.57,-3.05,1.95
-0.48,-0.37,0.62,-18.92,-2.26,2.87
-0.47,-0.37,0.61,-16.6,-1.59,3.91
-0.47,-0.36,0.59,-15.14,0.37,4.7
-0.46,-0.38,0.58,-13.37,3.36,5.74
-0.46,-0.39,0.57,-11.29,7.2,7.14
-0.46,-0.4,0.57,-10.13,9.4,7.69
-0.47,-0.42,0.59,-8.61,10.99,7.51
-0.48,-0.42,0.6,-7.81,11.17,7.51
-0.48,-0.42,0.61,-7.14,10.99,6.71
-0.49,-0.42,0.61,-7.08,8.73,5.55
-0.5,-0.42,0.61,-6.9,7.51,4.76
-0.5,-0.42,0.61,-6.65,5.07,3.72
-0.51,-0.42,0.64,-6.59,3.48,3.54
-0.52,-0.42,0.66,-6.04,2.87,3.36
-0.53,-0.42,0.69,-5.13,2.93,3.66
-0.54,-0.42,0.7,-4.58,3.3,4.39
-0.53,-0.41,0.71,-3.85,2.5,5.98
-0.53,-0.41,0.71,-3.78,0.55,6.77
-0.55,-0.41,0.71,-3.66,-1.34,7.45
-0.55,-0.42,0.74,-3.05,-2.38,8.18
-0.54,-0.41,0.75,-2.56,-3.05,7.81
-0.53,-0.42,0.76,-1.59,-4.09,6.77
-0.53,-0.42,0.76,-0.31,-5.07,4.82
-0.55,-0.43,0.76,0.61,-5.13,3.17
-0.56,-0.45,0.76,1.71,-3.6,-0.06
