ax,ay,az,gx,gy,gz
-0.39,-0.19,0.89,0.18,-0.31,1.16
-0.39,-0.19,0.89,0.24,-0.79,1.34
-0.39,-0.19,0.88,0.31,-1.04,1.4
-0.4,-0.2,0.88,0.06,-0.61,1.59
-0.4,-0.2,0.88,-0.18,0.12,1.83
-0.4,-0.2,0.88,-0.37,0.31,1.77
-0.4,-0.2,0.88,-0.73,0.0,1.77
-0.4,-0.21,0.88,-1.34,-1.22,1.46
-0.4,-0.21,0.88,-1.4,-1.83,1.4
-0.4,-0.21,0.86,-1.46,-2.08,1.46
-0.4,-0.21,0.86,-1.4,-1.34,1.53
-0.4,-0.21,0.86,-1.16,-0.73,1.53
-0.39,-0.21,0.87,-1.16,-0.49,1.53
-0.39,-0.21,0.87,-1.22,-1.04,1.34
-0.39,-0.21,0.87,-1.1,-1.34,1.22
-0.39,-0.21,0.87,-0.92,-1.95,0.85
-0.4,-0.21,0.87,-0.49,-1.71,0.73
-0.41,-0.22,0.87,0.12,0.24,0.18
-0.4,-0.22,0.87,0.37,1.53,-0.12
-0.39,-0.22,0.88,0.67,1.89,-0.37
-0.38,-0.22,0.89,1.22,0.55,-0.92
-0.39,-0.22,0.9,1.53,-0.79,-1.22
-0.4,-0.22,0.89,1.83,-1.46,-1.65
-0.41,-0.22,0.88,2.38,-1.16,-2.08
-0.41,-0.22,0.88,2.5,-0.55,-2.38
-0.41,-0.23,0.87,2.93,0.67,-2.26
-0.41,-0.23,0.87,3.23,0.92,-2.14
-0.41,-0.23,0.88,3.23,0.55,-2.01
-0.41,-0.23,0.88,3.78,-0.37,-1.83
-0.41,-0.23,0.87,3.97,-0.37,-1.95
-0.42,-0.23,0.86,4.21,-0.12,-1.77
-0.42,-0.23,0.85,4.33,0.85,-1.53
-0.42,-0.24,0.85,4.39,1.4,-1.53
-0.43,-0.24,0.86,3.91,1.46,-1.28
-0.44,-0.24,0.86,3.42,1.28,-0.79
-0.44,-0.24,0.86,2.75,1.4,-0.31
-0.44,-0.23,0.86,2.14,1.34,0.43
-0.44,-0.23,0.85,1.59,1.16,1.1
-0.44,-0.24,0.87,0.61,0.92,1.77
-0.45,-0.24,0.87,0.06,0.79,2.26
-0.44,-0.23,0.89,-0.24,0.73,2.69
-0.44,-0.23,0.89,-0.18,1.16,3.48
-0.43,-0.22,0.89,0.24,1.04,4.21
-0.44,-0.23,0.87,0.67,0.85,5.13
-0.44,-0.23,0.87,1.1,2.32,6.41
-0.43,-0.23,0.86,1.65,4.09,7.02
-0.43,-0.23,0.86,2.32,7.75,7.87
-0.41,-0.23,0.85,2.5,9.83,8.18
-0.41,-0.23,0.85,2.56,12.15,8.48
-0.38,-0.23,0.85,2.14,13.49,8.79
-0.37,-0.22,0.85,1.89,12.7,9.03
-0.36,-0.23,0.85,1.22,11.35,8.85
-0.35,-0.23,0.85,0.67,9.46,8.24
-0.34,-0.23,0.84,0.31,8.79,7.87
-0.33,-0.23,0.84,0.06,7.32,7.39
-0.32,-0.22,0.85,0.06,5.49,7.02
-0.32,-0.22,0.86,-0.06,1.95,5.98
-0.33,-0.22,0.86,-0.18,1.28,5.19
-0.33,-0.21,0.85,-0.12,1.83,4.27
-0.33,-0.21,0.84,-0.06,2.75,2.93
-0.33,-0.2,0.85,0.06,3.66,2.01
-0.32,-0.19,0.87,0.37,4.21,1.28
-0.32,-0.18,0.88,1.59,3.23,0.18
-0.31,-0.17,0.87,2.69,2.75,-0.43
-0.3,-0.17,0.86,5.13,2.56,-1.4
-0.29,-0.17,0.85,6.71,2.62,-2.32
-0.3,-0.19,0.84,7.87,2.93,-2.99
-0.3,-0.19,0.84,9.03,3.3,-4.52
-0.31,-0.19,0.85,9.77,4.39,-5.31
-0.34,-0.2,0.85,9.83,4.58,-5.74
-0.37,-0.2,0.84,9.03,5.92,-6.35
-0.4,-0.22,0.84,7.51,7.02,-6.35
-0.43,-0.23,0.85,3.6,7.75,-6.71
-0.45,-0.24,0.87,0.43,6.59,-6.9
-0.47,-0.24,0.89,-2.75,4.09,-6.23
-0.48,-0.24,0.91,-7.14,-0.98,-4.58
-0.5,-0.24,0.92,-10.25,-5.31,-3.42
-0.53,-0.23,0.94,-14.71,-11.54,-1.22
-0.56,-0.22,0.94,-17.33,-12.88,0.37
-0.57,-0.21,0.95,-18.49,-12.02,2.62
-0.57,-0.2,0.96,-19.84,-11.11,5.55
-0.57,-0.18,0.95,-19.65,-9.77,8.0
-0.55,-0.17,0.94,-17.58,-9.16,12.15
-0.54,-0.16,0.92,-15.62,-9.16,14.59
-0.53,-0.16,0.91,-13.12,-9.03,17.27
-0.5,-0.16,0.9,-8.54,-7.87,20.94
-0.49,-0.15,0.88,-5.55,-6.59,22.89
-0.47,-0.16,0.84,-2.62,-5.07,24.48
-0.46,-0.16,0.82,1.59,-1.83,26.31
-0.44,-0.17,0.8,3.54,0.12,26.49
-0.42,-0.19,0.78,5.13,1.77,26.37
-0.41,-0.2,0.76,6.41,3.05,25.21
-0.4,-0.21,0.76,6.65,3.42,24.23
-0.4,-0.22,0.77,6.1,3.17,23.01
-0.41,-0.23,0.77,5.31,2.69,21.61
-0.41,-0.24,0.77,3.97,1.77,19.71
-0.43,-0.25,0.77,1.77,0.18,16.91
-0.43,-0.26,0.77,-0.12,-1.22,14.83
-0.44,-0.27,0.78,-1.95,-3.05,12.88
-0.46,-0.26,0.78,-4.46,-4.15,9.7
-0.46,-0.26,0.78,-6.41,-5.62,7.93
-0.48,-0.24,0.79,-8.12,-7.2,6.41
-0.49,-0.24,0.8,-9.28,-7.26,4.64
-0.5,-0.23,0.81,-9.4,-5.74,4.33
-0.51,-0.21,0.83,-8.24,-1.65,4.76
-0.51,-0.19,0.84,-7.2,1.77,5.49
-0.51,-0.18,0.85,-5.8,5.49,6.41
-0.5,-0.18,0.85,-3.42,8.54,7.39
-0.5,-0.19,0.86,-1.95,8.61,8.0
-0.49,-0.2,0.88,-0.06,7.51,8.18
-0.48,-0.2,0.9,1.34,5.37,8.12
-0.48,-0.2,0.92,2.14,1.89,7.93
-0.5,-0.21,0.92,2.75,-1.89,7.39
-0.51,-0.22,0.91,2.81,-3.48,6.9
-0.51,-0.22,0.91,2.56,-4.7,6.35
-0.51,-0.22,0.91,2.01,-6.65,5.49
-0.51,-0.21,0.91,2.14,-8.0,5.0
-0.51,-0.2,0.91,1.95,-8.91,4.7
-0.52,-0.2,0.91,2.44,-8.91,5.0
-0.52,-0.2,0.92,2.99,-8.42,5.25
-0.54,-0.2,0.92,4.03,-3.66,5.8
-0.54,-0.21,0.91,4.82,0.06,6.35
-0.51,-0.22,0.91,5.0,1.59,6.96
-0.49,-0.24,0.92,4.82,2.99,6.96
-0.45,-0.24,0.96,4.82,0.98,6.65
-0.43,-0.24,0.98,4.7,-3.72,6.84
-0.44,-0.25,0.98,4.27,-8.42,6.59
-0.43,-0.25,0.97,3.91,-9.28,6.04
-0.42,-0.26,0.98,3.42,-9.64,5.62
-0.42,-0.26,0.99,3.78,-8.91,5.43
-0.41,-0.27,0.99,3.97,-9.03,5.68
-0.41,-0.28,0.99,3.85,-7.81,6.23
-0.4,-0.27,0.98,3.42,-6.71,6.9
-0.39,-0.28,0.97,2.93,-7.32,7.63
-0.38,-0.28,0.97,1.89,-9.46,8.97
-0.37,-0.27,0.96,1.16,-9.58,10.19
-0.34,-0.26,0.93,0.61,-9.7,11.96
-0.32,-0.25,0.9,0.49,-10.38,14.28
-0.29,-0.24,0.87,1.95,-9.58,15.38
-0.27,-0.25,0.82,3.48,-9.28,16.17
-0.27,-0.26,0.79,4.15,-8.06,15.75
-0.27,-0.27,0.79,4.52,-5.68,14.83
-0.28,-0.28,0.78,4.58,-3.6,14.28
-0.29,-0.29,0.77,4.15,1.16,13.24
-0.3,-0.3,0.76,3.72,4.58,12.27
-0.31,-0.3,0.75,2.56,7.2,11.41
-0.34,-0.33,0.74,-0.55,8.0,8.61
-0.35,-0.33,0.75,-4.64,6.71,6.77
-0.38,-0.34,0.78,-9.4,4.88,5.19
-0.39,-0.34,0.8,-15.81,3.11,3.42
-0.4,-0.34,0.81,-19.35,2.62,2.14
-0.41,-0.32,0.79,-23.86,1.59,1.89
-0.42,-0.3,0.77,-26.37,0.73,2.69
-0.4,-0.26,0.77,-27.53,-1.1,3.6
-0.4,-0.22,0.79,-26.67,-5.49,6.04
-0.39,-0.2,0.8,-24.35,-7.57,8.24
-0.4,-0.17,0.78,-21.67,-7.08,9.83
-0.4,-0.18,0.77,-15.56,-3.72,13.06
-0.4,-0.18,0.76,-12.45,-1.16,14.16
-0.38,-0.18,0.76,-8.3,0.06,16.66
-0.37,-0.18,0.78,-6.16,-2.08,17.21
-0.37,-0.2,0.78,-4.27,-4.27,17.7
-0.38,-0.22,0.79,-2.69,-7.32,18.74
-0.4,-0.25,0.8,-1.77,-7.87,19.23
-0.41,-0.27,0.82,-1.89,-5.74,19.53
-0.39,-0.28,0.82,-3.48,-4.94,19.29
-0.38,-0.28,0.83,-4.7,-6.1,18.86
-0.39,-0.29,0.85,-7.87,-15.99,18.74
-0.43,-0.28,0.88,-8.61,-19.29,19.1
-0.44,-0.28,0.95,-8.06,-18.62,19.41
-0.45,-0.27,0.96,-7.14,-15.56,20.63
-0.43,-0.27,0.95,-6.96,-14.4,21.97
-0.43,-0.27,0.93,-8.67,-15.2,24.9
-0.43,-0.26,0.92,-10.62,-13.98,26.31
-0.43,-0.25,0.94,-12.45,-11.72,27.22
-0.41,-0.25,0.97,-14.89,-10.74,29.24
-0.37,-0.25,1.01,-16.24,-16.42,31.13
-0.4,-0.24,1.05,-17.64,-20.2,33.57
-0.41,-0.22,1.06,-18.13,-18.37,34.42
-0.44,-0.22,1.09,-19.1,-16.6,35.4
-0.43,-0.23,1.1,-21.73,-14.95,36.38
-0.41,-0.21,1.14,-24.23,-18.01,36.25
-0.38,-0.18,1.15,-26.31,-23.93,36.07
-0.35,-0.15,1.16,-27.16,-35.95,36.68
-0.35,-0.12,1.14,-27.1,-45.04,36.74
-0.39,-0.12,1.08,-25.7,-48.28,36.87
-0.4,-0.11,1.03,-23.93,-43.52,36.87
-0.4,-0.11,0.97,-21.61,-35.58,37.54
-0.4,-0.11,0.9,-17.46,-21.48,38.94
-0.39,-0.12,0.86,-14.65,-12.45,40.1
-0.38,-0.12,0.83,-12.15,-4.94,41.2
-0.37,-0.15,0.77,-9.77,2.38,43.09
-0.37,-0.17,0.75,-9.52,4.52,44.13
-0.37,-0.17,0.74,-10.31,3.78,44.74
-0.38,-0.19,0.74,-13.31,0.24,45.17
-0.39,-0.2,0.75,-16.48,-2.81,44.92
-0.42,-0.2,0.79,-21.42,-6.59,45.17
-0.44,-0.2,0.79,-24.72,-5.55,45.29
-0.45,-0.19,0.78,-28.56,-2.5,45.96
-0.45,-0.18,0.76,-30.4,-1.04,46.75
-0.44,-0.16,0.76,-30.64,0.73,47.42
-0.41,-0.16,0.77,-29.79,-1.04,48.83
-0.4,-0.15,0.79,-28.2,-4.03,49.32
-0.39,-0.13,0.79,-26.31,-6.47,49.8
-0.38,-0.12,0.77,-22.46,-6.29,49.44
-0.38,-0.13,0.75,-19.78,-4.58,48.4
-0.38,-0.15,0.74,-16.97,-0.49,46.39
-0.37,-0.16,0.74,-15.81,0.43,45.04
-0.38,-0.17,0.75,-15.08,0.55,42.97
-0.39,-0.18,0.77,-14.77,-1.16,40.65
-0.4,-0.18,0.78,-14.77,-2.62,39.12
-0.39,-0.19,0.82,-14.16,-3.72,36.56
-0.38,-0.2,0.85,-13.18,-7.02,35.4
-0.41,-0.2,0.85,-11.78,-10.13,35.16
-0.43,-0.2,0.83,-9.64,-11.35,34.91
-0.44,-0.19,0.81,-8.54,-10.13,34.67
-0.45,-0.2,0.82,-7.81,-7.32,34.48
-0.46,-0.2,0.83,-7.14,-2.5,34.0
-0.47,-0.21,0.85,-7.02,-0.24,33.81
-0.47,-0.22,0.86,-8.12,0.06,33.57
-0.46,-0.22,0.87,-9.52,-1.53,33.39
-0.46,-0.22,0.9,-11.11,-4.21,33.02
-0.45,-0.22,0.95,-13.0,-7.75,31.86
-0.43,-0.2,0.98,-13.92,-10.38,31.07
-0.42,-0.18,1.03,-13.98,-12.27,30.33
-0.42,-0.15,1.09,-10.86,-14.04,29.11
-0.45,-0.18,1.1,-6.96,-9.7,27.4
-0.41,-0.23,1.05,-4.33,-0.79,25.57
-0.4,-0.24,1.06,-4.21,-2.62,25.7
